model,file,seed,status,wall_time,error,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F,dataset
AutoEncoder,132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995.csv,2024,success,0.8859090805053711,,0.06237004453455193,0.6265292435303459,0.06466628193270794,0.6266609357891024,0.18152727952079714,0.2921947965310207,0.19073024341447128,0.21581772465681356,0.6930119208348563,OPPORTUNITY
AutoEncoder,132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995.csv,42,success,0.8868386745452881,,0.06440819238791373,0.6358268900178073,0.06741545023517322,0.6358719278560424,0.1903469274308964,0.2973523421588595,0.1999300943725968,0.2484959028666322,0.6981015506915609,OPPORTUNITY
AutoEncoder,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.csv,13,success,6.906757354736328,,0.044143178476282324,0.5719014323167986,0.046018033647432774,0.5532498583040648,0.08759725130696094,0.06547651526049236,0.0654765152604923,0.003476630197167073,0.6678852566032287,CATSv2
AutoEncoder,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.csv,1337,success,6.895916700363159,,0.04445837768518327,0.577901725857299,0.04668005875283872,0.5616685238586366,0.0883703389085186,0.06547651526049236,0.0654765152604923,0.00347068845838329,0.6678855010658111,CATSv2
AutoEncoder,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.csv,17,success,6.9055116176605225,,0.04489334891469491,0.6206276949430611,0.04946092731854177,0.6013052431736563,0.09762122708051234,0.06547651526049236,0.0654765152604923,0.0034448921644361858,0.6678865721869601,CATSv2
AutoEncoder,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.csv,2024,success,6.8818535804748535,,0.04548717763291869,0.591261427169787,0.04760725101304704,0.5774086879579453,0.08928970434164231,0.06547651526049236,0.0654765152604923,0.003476959872722196,0.66788524306376,CATSv2
AutoEncoder,139_CATSv2_id_2_Sensor_tr_5592_1st_5692.csv,42,success,6.876996040344238,,0.04466936274395714,0.5869756498102039,0.0472509098343975,0.5731250833851079,0.08813464251716503,0.06547651526049236,0.0654765152604923,0.0034689554764820584,0.6678855725240873,CATSv2
AutoEncoder,166_SMAP_id_23_Sensor_tr_1113_1st_1890.csv,13,success,0.9987661838531494,,0.613349180875595,0.8047895982132985,0.6135295169434033,0.8049235694678866,0.7575710514525591,1.0,0.9999999999999996,0.4870848708487085,0.9998178478934036,SMAP
AutoEncoder,166_SMAP_id_23_Sensor_tr_1113_1st_1890.csv,1337,success,0.9977912902832031,,0.613349180875595,0.8047895982132985,0.6135295169434033,0.8049235694678866,0.7575710514525591,1.0,0.9999999999999996,0.4870848708487085,0.9998178478934036,SMAP
AutoEncoder,166_SMAP_id_23_Sensor_tr_1113_1st_1890.csv,17,success,0.99544358253479,,0.613349180875595,0.8047895982132985,0.6135295169434033,0.8049235694678866,0.7575710514525591,1.0,0.9999999999999996,0.4870848708487085,0.9998178478934036,SMAP
AutoEncoder,166_SMAP_id_23_Sensor_tr_1113_1st_1890.csv,2024,success,0.9947481155395508,,0.613349180875595,0.8047895982132985,0.6135295169434033,0.8049235694678866,0.7575710514525591,1.0,0.9999999999999996,0.4870848708487085,0.9998178478934036,SMAP
AutoEncoder,166_SMAP_id_23_Sensor_tr_1113_1st_1890.csv,42,success,0.9994428157806396,,0.613349180875595,0.8047895982132985,0.6135295169434033,0.8049235694678866,0.7575710514525591,1.0,0.9999999999999996,0.4870848708487085,0.9998178478934036,SMAP
AutoEncoder,171_SWaT_id_1_Sensor_tr_3749_1st_9522.csv,13,success,3.6525745391845703,,0.5376076142908064,0.9160893355719089,0.608201956117307,0.9264677524702779,0.6833214711164756,0.7414711102346677,0.6801270796756119,0.5216987657942114,0.773726862223385,SWaT
AutoEncoder,171_SWaT_id_1_Sensor_tr_3749_1st_9522.csv,1337,success,3.638047933578491,,0.53628268051966,0.9163071748202055,0.603600677550288,0.9251585901653846,0.6756484113102388,0.7414711102346677,0.6801270796756119,0.5216987657942114,0.773726862223385,SWaT
